target,smiles,tanimoto_score,docking_score,score,synthesis,num_steps
c1ccccc1,O=C1SC(=Cc2ccccc2)C(=O)N1CCNc1ncnc2c1ncn2-c1ccccc1OC(F)F,0.009,-10.900,0.818,Nc1ccccc1OC(F)F;NCCN1C(=O)SC(=Cc2ccccc2)C1=O;R66,1
c1ccccc1,O=C(NCCN1C(=O)SC(=Cc2ccccc2)C1=O)C(=O)Nc1ccccc1OC(F)F,0.013,-9.600,0.721,Nc1ccccc1OC(F)F;NCCN1C(=O)SC(=Cc2ccccc2)C1=O;R38,1
c1ccccc1,O=C(NCCN1C(=O)SC(=Cc2ccccc2)C1=O)Nc1ccccc1OC(F)F,0.013,-9.400,0.706,Nc1ccccc1OC(F)F;NCCN1C(=O)SC(=Cc2ccccc2)C1=O;R36,1
c1ccccc1,C=C(CC(=O)Nc1ccc(F)cc1OC(F)F)C(=O)OC(C)(C)C,0.019,-9.000,0.677,Nc1ccc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R8,1
c1ccccc1,CN(CCNC(=O)c1cc(F)ccc1OC(F)F)S(C)(=O)=O,0.019,-8.400,0.632,O=C(O)c1cc(F)ccc1OC(F)F;CN(CCN)S(C)(=O)=O;R8,1
c1ccccc1,C=C(CC(=O)Nc1c(F)cc(F)cc1OC(F)F)C(=O)OC(C)(C)C,0.016,-8.400,0.632,Nc1c(F)cc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R8,1
c1ccccc1,NCCN1C(=O)SC(C(Nc2ccccc2OC(F)F)c2ccccc2)C1=O,0.011,-8.200,0.616,Nc1ccccc1OC(F)F;NCCN1C(=O)SC(=Cc2ccccc2)C1=O;R59,1
c1ccccc1,CCOC(=O)C(C(C)=O)C(C)C(C)NCc1ccc(F)cc1OC(F)F,0.017,-8.100,0.609,NCc1ccc(F)cc1OC(F)F;CCOC(=O)C(C(C)=O)C(C)C(C)=O;R43,1
c1ccccc1,CC(OCC1CCCCC1)c1ccc(F)cc1OC(F)F,0.021,-8.000,0.602,CC(O)c1ccc(F)cc1OC(F)F;ClCC1CCCCC1;R56,1
c1ccccc1,CC(O)C(=O)OCC=Cc1ccc(F)cc1OC(F)F,0.026,-7.700,0.580,Fc1ccc(Br)c(OC(F)F)c1;C=CCOC(=O)C(C)O;R96,1
c1ccccc1,CC(=O)C(C)C(C(C)=O)C(=O)NCc1ccc(F)cc1OC(F)F,0.019,-7.600,0.572,NCc1ccc(F)cc1OC(F)F;CCOC(=O)C(C(C)=O)C(C)C(C)=O;R49,1
c1ccccc1,CC(OCC1CCC1)c1ccc(F)cc1OC(F)F,0.022,-7.500,0.565,CC(O)c1ccc(F)cc1OC(F)F;ClCC1CCC1;R56,1
c1ccccc1,CC(OCC1CCCC1)c1ccc(F)cc1OC(F)F,0.021,-7.500,0.565,CC(O)c1ccc(F)cc1OC(F)F;ClCC1CCCC1;R56,1
c1ccccc1,CC(C)(C)OC(=O)C(CNc1c(F)cc(F)cc1OC(F)F)CC(=O)O,0.017,-7.500,0.564,Nc1c(F)cc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R59,1
c1ccccc1,O=C(OCCOC1CC1)c1ccc(F)cc1OC(F)F,0.022,-7.400,0.557,O=C(O)c1ccc(F)cc1OC(F)F;BrCCOC1CC1;R31,1
c1ccccc1,CC(C)(C)OC(=O)C1CC(=O)N(c2c(F)cc(F)cc2OC(F)F)C1,0.012,-7.400,0.556,Nc1c(F)cc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R82,1
c1ccccc1,C[C@@H](O)COc1ccccc1OC(F)F,0.047,-7.200,0.545,Oc1ccccc1OC(F)F;C[C@@H]1CO1;R22,1
c1ccccc1,C=CCOC(=O)C(C)Oc1ccc(F)cc1OC(F)F,0.026,-7.200,0.543,Fc1ccc(Br)c(OC(F)F)c1;C=CCOC(=O)C(C)O;R56,1
c1ccccc1,CC(C)(C)OC(=O)C(CNc1ccc(F)cc1OC(F)F)CC(=O)O,0.019,-7.200,0.542,Nc1ccc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R59,1
c1ccccc1,CC(C)(C)OC(=O)C1CC(=O)N(c2ccc(F)cc2OC(F)F)C1,0.014,-7.200,0.541,Nc1ccc(F)cc1OC(F)F;C=C(CC(=O)O)C(=O)OC(C)(C)C;R82,1
c1ccccc1,CCOC(=O)c1c(C)c(C)n(Cc2ccc(F)cc2OC(F)F)c1C,0.012,-7.100,0.534,NCc1ccc(F)cc1OC(F)F;CCOC(=O)C(C(C)=O)C(C)C(C)=O;R90,1
