target,smiles,tanimoto_score,docking_score,score,synthesis,num_steps
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,COC(=O)C(C)C(=O)C=Cc1c(Cl)cccc1-n1cccn1,0.174,-8.000,0.617,COC(=O)C(C)C(C)=O;O=Cc1c(Cl)cccc1-n1cccn1;R3,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,C=C(CC(=O)NC(C)C(C)C(=O)OC)C(=O)OC(C)(C)C,0.099,-7.900,0.602,COC(=O)C(C)C(C)N;C=C(CC(=O)O)C(=O)OC(C)(C)C;R8,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,C[C@@H](O)C(=O)NCCN1CCCCCCC1,0.067,-7.800,0.592,COC(=O)[C@@H](C)O;NCCN1CCCCCCC1;R49,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,COC(=O)[C@@H](NC(=O)C(=O)Nc1nn(C)cc1[N+](=O)[O-])C(C)C,0.172,-7.200,0.557,COC(=O)[C@@H](N)C(C)C;Cn1cc([N+](=O)[O-])c(N)n1;R38,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,CCC(CNC(=O)C(C)C(C)C)C(C)C,0.043,-7.300,0.552,COC(=O)C(C)C(C)C;CCC(CN)C(C)C;R49,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,C[C@@H](O)C(=O)NCCN1CCCCCC1,0.067,-7.200,0.547,COC(=O)[C@@H](C)O;NCCN1CCCCCC1;R49,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,CC(NC(=O)/C=C/C=C/C(=O)O)C(=O)O,0.086,-7.100,0.541,CC(N)C(=O)O;O=C(O)/C=C/C=C/C(=O)O;R8,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,CCC(C)C(C)CNC(=O)C(C)C(C)C,0.048,-7.000,0.530,COC(=O)C(C)C(C)C;CCC(C)C(C)CN;R49,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,CC(NC(/C=C/C(=O)O)CC(=O)O)C(=O)O,0.103,-6.900,0.528,CC(N)C(=O)O;O=C(O)/C=C/C=C/C(=O)O;R59,1
COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,COC(=O)C(C)C(C)NCC(CC(=O)O)C(=O)OC(C)(C)C,0.109,-6.800,0.521,COC(=O)C(C)C(C)N;C=C(CC(=O)O)C(=O)OC(C)(C)C;R59,1
